,date,provider,video_id,page_link,download_link,title,description,thumbnail_default,thumbnail_medium,thumbnail_high,downloaded
21,2019-09-20T18:58:04.000Z,youtube,Gd0QPYVYnQg,0,0,"3. Nuclear Mass and Stability, Nuclear Reactions and Notation, Introduction to Cross Section","MIT 22.01 Introduction to Nuclear Engineering and Ionizing Radiation, Fall 2016",https://i.ytimg.com/vi/Gd0QPYVYnQg/default.jpg,https://i.ytimg.com/vi/Gd0QPYVYnQg/mqdefault.jpg,https://i.ytimg.com/vi/Gd0QPYVYnQg/hqdefault.jpg,True
22,2010-01-01T00:00:00Z,website,87677dc8cdb,https://oyc.yale.edu/african-american-studies/afam-162/lecture-1,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring10/afam162/mov/chapters/afam162_01_011110.mov,AFAM 162 - Lecture 1 - Dawn of Freedom | Open Yale Courses,0,0,0,0,True
23,2010-01-01T00:00:00Z,website,6cb04368b92,https://oyc.yale.edu/african-american-studies/afam-162/lecture-2,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring10/afam162/mov/chapters/afam162_02_011310.mov,AFAM 162 - Lecture 2 - Dawn of Freedom (continued) | Open Yale Courses,0,0,0,0,True
24,2010-01-01T00:00:00Z,website,8327ff958fc,https://oyc.yale.edu/african-american-studies/afam-162/lecture-3,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring10/afam162/mov/chapters/afam162_03_011510.mov,AFAM 162 - Lecture 3 - Reconstruction | Open Yale Courses,0,0,0,0,True
25,2010-01-01T00:00:00Z,website,ebfedb0cc95,https://oyc.yale.edu/african-american-studies/afam-162/lecture-4,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring10/afam162/mov/chapters/afam162_04_012010.mov,AFAM 162 - Lecture 4 - Reconstruction (continued) | Open Yale Courses,0,0,0,0,True
26,2010-01-01T00:00:00Z,website,b48ba5aa81a,https://oyc.yale.edu/african-american-studies/afam-162/lecture-16,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring10/afam162/mov/chapters/afam162_16_032210.mov,AFAM 162 - Lecture 16 - From Voting Rights to Watts | Open Yale Courses,0,0,0,0,True
27,2010-01-01T00:00:00Z,website,506aa7c10dd,https://oyc.yale.edu/african-american-studies/afam-162/lecture-17,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring10/afam162/mov/chapters/afam162_17_032410.mov,AFAM 162 - Lecture 17 - From Voting Rights to Watts (continued) | Open Yale Courses,0,0,0,0,True
28,2007-01-01T00:00:00Z,website,62ed8757fe4,https://oyc.yale.edu/astronomy/astr-160/update-1,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring07/astr160/mov/astr160_update01_070212.mov,ASTR 160 - Update 1 - The Kepler Mission | Open Yale Courses,0,0,0,0,True
29,2007-01-01T00:00:00Z,website,c80277dcc4e,https://oyc.yale.edu/astronomy/astr-160/lecture-6,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring07/astr160/mov/chapters/astr160_06_020107.mov,"ASTR 160 - Lecture 6 - Microlensing, Astrometry and Other Methods | Open Yale Courses",0,0,0,0,True
30,2007-01-01T00:00:00Z,website,64a7db96391,https://oyc.yale.edu/astronomy/astr-160/update-3,http://openmedia.yale.edu/cgi-bin/open_yale/media_downloader.cgi?file=/courses/spring07/astr160/mov/astr160_update03_070212.mov,ASTR 160 - Update 3 - The “Dark Ages” and the Growth of Structure | Open Yale Courses,0,0,0,0,True
